2013.11.04,,11130,Label: DW US Fusion - Hydrogen Peroxide,5000,5000,0,__,"14,Nov",A,5000,,,,,,,,5000,2013.11.14: SHIPPED TO USA BY AIR,,,,,,,,,,,,,,,,,,
2013.11.04,,11285,Label 2mL 25% Hydrogen Peroxide - blue,5000,5000,0,__,"14,Nov",A,5000,,,,,,,,5000,2013.11.14: SHIPPED TO USA BY AIR,,,,,,,,,,,,,,,,,,
2013.11.07,,12090,White Lamp - Generic,6,6,0,JOJO,"10,Nov",,6,,,,,,,,6,2013.11.14: shipped to USA by air,,,,,,,,,,,,,,,,,,
2013.11.07,,12300,Generic Case,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013.11.09,,1777,Take Home Premium (no liner) bag,1600,1600,0,Mr.Xia,"5,Dec",A,1600,,,,,,,,1600,2013.12.12: shipped to usa by container,,,,,,,,,,,,,,,,,,
2013.11.09,,13010,Thermoforming Tray - sealed in bag,19075,19075,0,__,"10,Dec",A,19075,,,,,,,,19075,2013.12.12: shipped to usa by container,,,,,,,,,,,,,,,,,,
2013.11.09,,12570,White Mini LED Light (CE and WEEE mark),60000,60000,0,JACKY,"10,Dec",A,60000,"5,Dec handover 40,000pcs, 10,Dec handover another 20,000pcs.",,,,,,,50000,2013.12.12: shipped to usa by container,10000,"2014.1.23 sent 10,000pc to US by container",,,,,,,,,,,,,,,,
2013.11.09,,1790,Take Home Kit - generic instructions,80000,80000,0,L,"23,Nov",A,80000,,,,,,,,64000,2013.12.12: shipped to usa by container,16000,2014.5.12_ ship to USA by container 4207,,,,,,,,,,,,,,,,
2013.11.09,,16060,"Retainer Case - white, standard ",30000,30000,0,L,"5,Dec",A,30000,,,,,,,,20000,2013.12.12: shipped to usa by container,10000,"2014.1.23 sent 10,000pc to US by container",,,,,,,,,,,,,,,,
2013.11.13,,16065,Blister Retainer Case,27702,27702,0,Mr.Ou,?,A,27602,"10,Dec 30,000pcs, another 20,000pcs should be at the end of Dec",,,,,,,4950,2013.12.11: shipped to usa by express,14452,2013.12.12: shipped to usa by container,5400,,2800,"2014.1.21 sent 2,800pc to Rotterdam by LCL",,,,,,,,,,,,
2013.11.25,,6120,Forever White Pen Box - NEW,5000,5000,0,L,,A,5000,,,,,,,,5000,"shipped US by express on 28th,Dec.2013",,,,,,,,,,,,,,,,,,
2013.11.27,,11275,"Label 10mL Whitening Gel, EU compliant - silver",40000,40000,0,__,,A,40000,,,,,,,,40000,2013.12.11: shipped to usa,,,,,,,,,,,,,,,,,,
2013.12.12,,6185,Pen Box - EU ,10000,10000,0,L,"22,Dec",A,10000,,,,,,,,3850,"ship 3,900pc to Spain Dec.23th",6150,"2014.1.21 shipped 6,150pc to Rotterdam by LCL",,,,,,,,,,,,,,,,
2013.12.23,,17090,"Syringe 10mL, Pad Printed - 36% CP",100000,100000,0,__,15.Jan,,100000,,,,,,,,100000,2014.1.23 sent to US by container,,,,,,,,,,,,,,,,,,
2013.12.23,,17070,"Syringe 10mL, Lined",100000,100000,0,__,15.Jan,,100000,,,,,,,,74400,2014.1.23 sent to US by container,25600,2014.5.12_ ship to USA by container 4207,,,,,,,,,,,,,,,,
2013.12.23,,17080,"Syringe 10mL, not lined",100000,100000,0,__,10.Jan,,100000,,,,,,,,100000,2014.1.23 sent to US by container,,,,,,,,,,,,,,,,,,
2013.12.23,,17040,"Syringe 3mL, Lined",150000,150000,0,__,10.Jan,,150000,,,,,,,,150000,2014.1.23 sent to US by container,,,,,,,,,,,,,,,,,,
2013.12.23,,17030,"Syringe 3mL, not lined ",50000,50000,0,__,10.Jan,,50000,,,,,,,,50000,2014.1.23 sent to US by container,,,,,,,,,,,,,,,,,,
2013.12.23,,19070,"Syringe caps, Clear",300000,300000,0,Mr.Wu,4.Jan,,300000,,,,,,,,75000,,225000,"2014.1.23 sent 225,000 pc to US by container",,,,,,,,,,,,,,,,
2013.12.28,,16060,"Retainer Case - white, standard ",43000,43000,0,Ou,20.Jan,,43000,,,,,,,,3000,"2014.1.21 sent 3,000pc to Rotterdam by LCL",40000,"2014.1.23 sent 40,000pc to US by container",,,,,,,,,,,,,,,,
2013.12.28,,12570,White Mini LED Light (CE and WEEE mark),43000,43000,0,_,20.Jan.,,43000,,,,,,,,3000,,40000,"2014.1.23 sent 40,000pc to US by container",,,,,,,,,,,,,,,,
2013.12.28,,13010,Thermoforming Tray - sealed in bag,59000,59000,-180,__,20.Jan.,,59180,,,,,,,,3520,ship 4 cartons x880pc to UK,9680,Ship to Rotterdam by LCL shipment,45980,"2014.1.23 sent 45,980pc to US by container",,,,,,,,,,,,,,
2013.12.28,,13040,PerfecTray (former Platform tray) - in bag,39088,39088,0,__,11.Jan.,,39088,,,,,,,,9520,"shipped 17cartonx560pc=9,520pc to Holland by LCL",29568,2014.1.23 sent 29568pc to US by container,,,,,,,,,,,,,,,,
2013.12.28,,1777,Take Home Premium (no liner) bag,25000,25000,0,_,20.Jan.,,25000,,,,,,,,25000,,,,,,,,,,,,,,,,,,,
2013.12.28,,1760,Take Home BW - bag,3600,3600,-60,_,20.Jan.,,3660,,,,,,,,600,2014.1.21 sent 600pc to Rotterdam by LCL,3060,2014.1.23 sent 3060pc to US by container,,,,,,,,,,,,,,,,
2013.12.28,,1210,Bianco Professional case,1500,1500,0,_,"22,Jan.",,1500,,,,,,,,1500,,,,,,,,,,,,,,,,,,,
2013.12.28,,15010,"Pen Clear 1.2mL, Tan White",3000,3000,0,__,23.Feb,,3000,,,,,,,,3000,,,,,,,,,,,,,,,,,,,
2013.12.28,,15030,"Pen Clear 2mL, BW blue logo",30000,30000,0,__,23.Feb,,30000,,,,,,,,4000,2014.1.23 sent to US by expreds,26000,2014.1.23 sent to US by container,,,,,,,,,,,,,,,,
2013.12.28,,15040,"Pen Clear 2mL, Generic",20000,20000,0,__,23.Feb,,20000,,,,,,,,4000,2014.1.23 sent to US by expreds,16000,2014.1.23 sent to US by container,,,,,,,,,,,,,,,,
2013.12.28,,15050,"Pen Satin 2mL, Forever White, white logo",15000,15000,0,__,23.Feb,,15000,,,,,,,,4000,2014.1.23 sent to US by expreds,11000,2014.1.23 sent to US by container,,,,,,,,,,,,,,,,
2013.12.28,,15080,"Pen Satin 2mL, GlamWhite, purple logo",3000,3000,0,__,23.Feb,,3000,,,,,,,,3000,2014.1.23 sent to US by container,,,,,,,,,,,,,,,,,,
2013.12.28,,9030,Finger Wipe - Multilingual,100000,100000,0,__,23.Feb,,100000,,,,,,,,30000,,70000,2014.1.23 sent to US by container,,,,,,,,,,,,,,,,
2014.1.8,,1010,Advanced BW 16% - box US & Canada ,20000,20000,0,___,22.Jan.,,20000,,,,,,,,20000,2014.1.23 sent to US by container,,,,,,,,,,,,,,,,,,
2014.1.8,,1020,Advanced Generic 16% - box,5000,5000,0,___,"22,Jan.",,5000,,,,,,,,5000,2014.1.23 sent to US by container,,,,,,,,,,,,,,,,,,
2014.1.8,LOLI,6210,Pen Box - White Spa Dental,3000,Cancelled,#VALUE!,___,"15,Feb.",Cancel,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014.1.8,,6065,Box: DW Fusion - Canada Hydrogen Peroxide,2000,2000,0,___,"22,Jan.",,2000,,,,,,,,100,give to Luis bring to USA on Jan.23th,1900,"2014.1.23 sent 1,900pc to US by container",,,,,,,,,,,,,,,,
2014.1.8,,11313,Label: DW Fusion - Canada Hydrogen Peroxide,2000,2000,0,__,22.Jan.,,2000,,,,,,,,100,give to Luis bring to USA on Jan.23th,1900,"2014.1.23 sent 1 ,900pc to US by container",,,,,,,,,,,,,,,,
2014.1.14,,11250,"Label 10mL Whitening Gel, non-peroxide - gold",20000,20000,0,__,21.Jan.,,20000,,,,,,,,20000,2014.1.23 sent to US office,,,,,,,,,,,,,,,,,,
2014.1.14,,11260,"Label 5mL Whitening Gel, EU compliant - silver",25000,25000,0,__,21.Jan.,,25000,,,,,,,,25000,2014.1.23 sent to US,,,,,,,,,,,,,,,,,,
2014.1.14,,11275,"Label 10mL Whitening Gel, EU compliant - silver",20000,20000,0,__,10.Feb,,20000,,,,,,,,20000,2014.1.23 sent to US,,,,,,,,,,,,,,,,,,
2014.1.14,,11010,Label 2mL Bianco 6% Touch-Up,2500,2500,0,__,10.Feb,,2500,,,,,,,,2500,2014.1.23 sent to US,,,,,,,,,,,,,,,,,,
2014.1.16,,1130,Beverly Hills Pen Box ,1500,1500,0,___,18.Jan.,,1500,,,,,,,,300,give 300pc to Luis bring to USA,1200,"2014.1.23 sent 1,200pc to US by container",,,,,,,,,,,,,,,,
